Film,Date,Year,Weekend,Gross
Ben-Hur,1/3/1960,1960,1,1584382
Ben-Hur,1/10/1960,1960,2,1482824
Ben-Hur,1/17/1960,1960,3,1396682
Ben-Hur,1/24/1960,1960,4,1284204
Ben-Hur,1/31/1960,1960,5,1204284
Visit to a Small Planet,2/7/1960,1960,6,1300821
Ben-Hur,2/14/1960,1960,7,1184213
The Last Voyage,2/21/1960,1960,8,1283621
Ben-Hur,2/28/1960,1960,9,1102024
Home from the Hill,3/6/1960,1960,10,1923100
Can-Can,3/13/1960,1960,11,1291391
Seven Thieves,3/20/1960,1960,12,997343
Seven Thieves,3/27/1960,1960,13,985524
Please Don't Eat the Daisies,4/3/1960,1960,14,1261481
The Unforgiven,4/10/1960,1960,15,1217581
Who Was That Lady?,4/17/1960,1960,16,1182023
Please Don't Eat the Daisies,4/24/1960,1960,17,1172411
Please Don't Eat the Daisies,5/1/1960,1960,18,932678
Please Don't Eat the Daisies,5/8/1960,1960,19,925125
Please Don't Eat the Daisies,5/15/1960,1960,20,893478
Sergeant Rutledge,5/22/1960,1960,21,1289291
Sergeant Rutledge,5/29/1960,1960,22,1183135
Pollyanna,6/5/1960,1960,23,1178921
Pollyanna,6/12/1960,1960,24,983246
Psycho,6/19/1960,1960,25,1274183
Bells Are Ringing,6/26/1960,1960,26,1284193
Strangers When We Meet,7/3/1960,1960,27,1213382
Elmer Gantry,7/10/1960,1960,28,1218017
Psycho,7/17/1960,1960,29,1183190
The Bellboy,7/24/1960,1960,30,1129283
Portrait in Black,7/31/1960,1960,31,1272489
Psycho,8/7/1960,1960,32,1100056
Ocean's 11,8/14/1960,1960,33,1289482
G.I. Blues,8/21/1960,1960,34,1247182
Psycho,8/28/1960,1960,35,1100000
Psycho,9/4/1960,1960,36,992478
Let's Make Love,9/11/1960,1960,37,1278216
The Little Shop of Horrors,9/18/1960,1960,38,1178134
The Dark at the Top of the Stairs,9/25/1960,1960,39,1112482
High Time,10/2/1960,1960,40,938582
Spartacus,10/9/1960,1960,41,1301034
Spartacus,10/16/1960,1960,42,1209482
The Magnificent Seven,10/23/1960,1960,43,1184922
The Alamo,10/30/1960,1960,44,1481322
The Alamo,11/6/1960,1960,45,1238571
BUtterfield 8,11/13/1960,1960,46,1292457
North to Alaska,11/20/1960,1960,47,1172811
BUtterfield 8,11/27/1960,1960,48,1169582
BUtterfield 8,12/4/1960,1960,49,992822
Swiss Family Robinson,12/11/1960,1960,50,1381472
Exodus,12/18/1960,1960,51,1290823
Flaming Star,12/25/1960,1960,52,1281489
El Cid,1/1/1961,1961,52,1490781
Swiss Family Robinson,1/8/1961,1961,1,843674
Swiss Family Robinson,1/15/1961,1961,2,742833
Swiss Family Robinson,1/22/1961,1961,3,619348
One Hundred and One Dalmatians,1/29/1961,1961,4,1973285
One Hundred and One Dalmatians,2/5/1961,1961,5,1753249
One Hundred and One Dalmatians,2/12/1961,1961,6,1582693
One Hundred and One Dalmatians,2/20/1961,1961,7,1482583
One Hundred and One Dalmatians,2/26/1961,1961,8,1371284
One Hundred and One Dalmatians,3/5/1961,1961,9,1284194
One Hundred and One Dalmatians,3/12/1961,1961,10,1173278
The Absent-Minded Professor,3/19/1961,1961,11,1285385
Hoodlum Priest,3/26/1961,1961,12,1219834
One Hundred and One Dalmatians,4/2/1961,1961,13,1284389
The Sins of Rachel Cade,4/9/1961,1961,14,1281572
The Absent-Minded Professor,4/16/1961,1961,15,1283204
The Absent-Minded Professor,4/23/1961,1961,16,1184284
One Hundred and One Dalmatians,4/30/1961,1961,17,1178284
Return to Peyton Place,5/7/1961,1961,18,1278284
Underworld U.S.A.,5/14/1961,1961,19,1283583
Parrish,5/21/1961,1961,20,935375
The Last Time I Saw Archie,5/28/1961,1961,21,1283294
A Raisin in the Sun,6/4/1961,1961,22,1392583
Gidget Goes Hawaiian,6/11/1961,1961,23,1284172
Wild in the Country,6/18/1961,1961,24,1582238
The Parent Trap,6/25/1961,1961,25,1502583
The Guns of Navarone,7/2/1961,1961,26,1385290
The Ladies Man,7/9/1961,1961,27,1182194
The Parent Trap,7/16/1961,1961,28,1182422
The Parent Trap,7/23/1961,1961,29,1128874
Two Rode Together,7/30/1961,1961,30,1284812
Two Rode Together,8/6/1961,1961,31,924372
Come September,8/13/1961,1961,32,1284287
The Pit and the Pendulum,8/20/1961,1961,33,964378
Ada,8/27/1961,1961,34,1372578
The Parent Trap,9/3/1961,1961,35,1283294
The Parent Trap,9/10/1961,1961,36,925673
